case:OrganizationalEntity,n_cases,mean_fitness,pct_perfect,mean_missing
organizational unit 65483,1,0.694,0.0,1.0
organizational unit 65480,9,0.932,22.222,2.0
organizational unit 65458,1673,0.936,36.402,1.386
organizational unit 65455,1242,0.947,38.969,1.282
organizational unit 65462,2,0.948,50.0,1.5
organizational unit 65475,21,0.966,61.905,0.571
organizational unit 65482,9,0.966,77.778,0.333
organizational unit 65465,12,0.968,75.0,0.25
organizational unit 65466,289,0.969,58.131,0.765
organizational unit 65459,612,0.972,66.993,0.665
organizational unit 65456,992,0.973,64.516,0.778
organizational unit 65457,364,0.973,67.308,0.742
organizational unit 65460,538,0.974,65.056,0.881
organizational unit 65464,357,0.975,69.748,0.695
organizational unit 65484,3,0.975,33.333,0.667
organizational unit 65454,611,0.977,70.213,0.592
organizational unit 65470,52,0.981,69.231,0.673
organizational unit 65473,17,0.982,88.235,0.118
organizational unit 65468,8,0.982,62.5,0.625
organizational unit 65477,22,0.985,81.818,0.318
organizational unit 65469,70,0.985,84.286,0.371
organizational unit 65474,4,0.986,75.0,0.25
organizational unit 65461,97,0.987,85.567,0.258
organizational unit 65467,25,0.988,92.0,0.08
organizational unit 65472,24,0.99,91.667,0.333
organizational unit 65471,8,0.996,87.5,0.125
organizational unit 65478,1,1.0,100.0,0.0
organizational unit 65486,1,1.0,100.0,0.0
organizational unit 65488,1,1.0,100.0,0.0
