case_id,fitness,missing_tokens,remaining_tokens,consumed_tokens,produced_tokens,is_fit
travel permit 76455,0.8947368421052632,2,2,19,19,False
travel permit 76665,0.8947368421052632,2,2,19,19,False
travel permit 73652,0.8947368421052632,2,2,19,19,False
travel permit 76734,0.6944444444444444,1,4,6,9,False
travel permit 73562,0.8559322033898304,17,17,118,118,False
travel permit 72588,0.92,2,2,25,25,False
travel permit 74626,0.9285714285714286,1,1,14,14,False
travel permit 72815,0.9523809523809523,1,1,21,21,False
travel permit 76679,0.9444444444444444,1,1,18,18,False
travel permit 76808,0.8947368421052632,2,2,19,19,False
travel permit 76289,0.8947368421052632,2,2,19,19,False
travel permit 73549,0.736842105263158,5,5,19,19,False
travel permit 76683,0.8947368421052632,2,2,19,19,False
travel permit 76036,0.9523809523809523,1,1,21,21,False
travel permit 74085,0.8947368421052632,2,2,19,19,False
travel permit 76297,0.8947368421052632,2,2,19,19,False
travel permit 73660,0.8947368421052632,2,2,19,19,False
travel permit 76305,0.8947368421052632,2,2,19,19,False
travel permit 76184,0.9523809523809523,1,1,21,21,False
travel permit 73008,0.875,4,4,32,32,False
travel permit 76314,0.782608695652174,5,5,23,23,False
travel permit 73535,0.7777777777777778,4,4,18,18,False
travel permit 76546,0.9583333333333334,1,1,24,24,False
travel permit 75898,0.8666666666666667,2,2,15,15,False
travel permit 73726,0.8947368421052632,2,2,19,19,False
travel permit 76193,0.8888888888888888,3,3,27,27,False
travel permit 73734,0.8181818181818181,4,4,22,22,False
travel permit 77105,0.875,3,3,24,24,False
travel permit 76209,0.7586206896551724,7,7,29,29,False
travel permit 77875,0.875,3,3,24,24,False
travel permit 72861,0.8947368421052632,2,2,19,19,False
travel permit 72379,0.8095238095238095,4,4,21,21,False
travel permit 76816,0.8947368421052632,2,2,19,19,False
travel permit 74189,0.8947368421052632,2,2,19,19,False
travel permit 76327,0.8947368421052632,2,2,19,19,False
travel permit 73796,0.8947368421052632,2,2,19,19,False
travel permit 73027,0.9523809523809523,1,1,21,21,False
travel permit 75905,0.8518518518518519,4,4,27,27,False
travel permit 76386,0.8947368421052632,2,2,19,19,False
travel permit 77784,0.8947368421052632,2,2,19,19,False
travel permit 73748,0.8947368421052632,2,2,19,19,False
travel permit 77792,0.8947368421052632,2,2,19,19,False
travel permit 73676,0.9523809523809523,1,1,21,21,False
travel permit 77800,0.9285714285714286,1,1,14,14,False
travel permit 75854,0.9523809523809523,1,1,21,21,False
travel permit 75863,0.8947368421052632,2,2,19,19,False
travel permit 76896,0.9523809523809523,1,1,21,21,False
travel permit 72390,0.9523809523809523,1,1,21,21,False
travel permit 72869,0.8947368421052632,2,2,19,19,False
travel permit 75921,0.8947368421052632,2,2,19,19,False
travel permit 72543,0.8947368421052632,2,2,19,19,False
travel permit 73277,0.8947368421052632,2,2,19,19,False
travel permit 76590,0.9285714285714286,1,1,14,14,False
travel permit 73685,0.8947368421052632,2,2,19,19,False
travel permit 73668,0.8947368421052632,2,2,19,19,False
travel permit 72399,0.9444444444444444,1,1,18,18,False
travel permit 76857,0.9285714285714286,1,1,14,14,False
travel permit 76149,0.8947368421052632,2,2,19,19,False
travel permit 76394,0.8571428571428572,4,4,28,28,False
travel permit 72527,0.8823529411764706,2,2,17,17,False
travel permit 72533,0.9523809523809523,1,1,21,21,False
travel permit 73693,0.9523809523809523,1,1,21,21,False
travel permit 72403,0.9444444444444444,1,1,18,18,False
travel permit 73544,0.9285714285714286,1,1,14,14,False
travel permit 76560,0.8947368421052632,2,2,19,19,False
travel permit 72877,0.7305194805194805,2,5,11,14,False
travel permit 76569,0.8947368421052632,2,2,19,19,False
travel permit 73246,0.9523809523809523,1,1,21,21,False
travel permit 73703,0.9583333333333334,1,1,24,24,False
travel permit 73756,0.9523809523809523,1,1,21,21,False
travel permit 72579,0.9523809523809523,1,1,21,21,False
travel permit 73716,0.9523809523809523,1,1,21,21,False
travel permit 73037,0.8181818181818181,4,4,22,22,False
travel permit 76422,0.8181818181818181,4,4,22,22,False
travel permit 77015,0.9523809523809523,1,1,21,21,False
travel permit 73838,0.9285714285714286,1,1,14,14,False
travel permit 73843,0.9523809523809523,1,1,21,21,False
travel permit 76834,0.9523809523809523,1,1,21,21,False
travel permit 76157,0.9523809523809523,1,1,21,21,False
travel permit 77372,0.8947368421052632,2,2,19,19,False
travel permit 73256,0.8181818181818181,4,4,22,22,False
travel permit 73853,0.9583333333333334,1,1,24,24,False
travel permit 76577,0.875,3,3,24,24,False
travel permit 72339,0.8846153846153846,3,3,26,26,False
travel permit 76412,0.9523809523809523,1,1,21,21,False
travel permit 73766,0.9285714285714286,1,1,14,14,False
travel permit 77380,0.9523809523809523,1,1,21,21,False
travel permit 77890,0.9523809523809523,1,1,21,21,False
travel permit 72918,0.8947368421052632,2,2,19,19,False
travel permit 73826,0.8947368421052632,2,2,19,19,False
travel permit 72927,0.8947368421052632,2,2,19,19,False
travel permit 76273,0.8947368421052632,2,2,19,19,False
travel permit 74094,0.8181818181818181,4,4,22,22,False
travel permit 73269,0.8947368421052632,2,2,19,19,False
travel permit 76594,0.8947368421052632,2,2,19,19,False
