case_id,duration_days,duration_bucket,is_long,n_events,n_rejections,n_reminders,n_approvals,has_rfp,start_activity,end_activity,starts_with_trip,ends_with_payment,ends_with_reminder,permit_approval_days,approval_to_trip_days,trip_duration_days,decl_to_payment_days,compliance,case:OrganizationalEntity,case:RequestedBudget,case:TotalDeclared,case:Overspent,budget_utilisation,variant_rank
travel permit 10022,62.15259259259259,medium,0,18,0,0,9,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.9634490740740741,23.459155092592592,5.0,8.03818287037037,compliant,organizational unit 65466,2134.047940863191,683.1767061694796,0,0.3201318457228026,604
travel permit 10040,86.15165509259259,medium,0,18,2,0,6,1,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.10811342592592593,58.313287037037036,7.0,0.0,compliant,organizational unit 65466,2531.5127363947604,2655.2072716831694,0,1.0488619051802868,58
travel permit 10060,253.52193287037036,long,1,8,0,2,3,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,5.781793981481481,111.48961805555555,30.0,,compliant,organizational unit 65458,0.0,0.0,0,,10
travel permit 10066,8.043854166666668,short,0,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.6658333333333334,0.0,0.0,6.352048611111111,type_b,organizational unit 65460,64.87850330200695,71.19583091102062,0,1.0973716606809925,21
travel permit 10077,147.19310185185185,long,1,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,10.804328703703703,116.65818287037037,14.0,2.2264930555555558,compliant,organizational unit 65455,1108.5784849413924,658.5051306535076,0,0.5940085790933612,1
travel permit 10087,97.31230324074073,medium,0,13,2,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,3.9160300925925924,57.66626157407408,3.0,33.84628472222222,compliant,organizational unit 65469,2854.345947155462,3146.3450551748397,0,1.102299831003447,382
travel permit 10100,195.06451388888888,long,1,19,0,1,9,1,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,4.986840277777778,95.34770833333333,24.0,0.0,compliant,organizational unit 65459,1439.7036982471311,1020.0610395487603,0,0.7085215109127702,1086
travel permit 10120,158.55333333333334,long,1,7,0,2,2,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,2.929386574074074,43.373263888888886,2.0,,compliant,organizational unit 65458,0.0,0.0,0,,3
travel permit 10125,47.78034722222222,short,0,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,2.4603819444444444,15.589976851851851,1.0,4.85712962962963,compliant,organizational unit 65454,299.32874502847767,570.5246122796364,0,1.906013444266295,1
travel permit 10136,117.77930555555555,long,1,12,0,0,6,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,4.479571759259259,103.5697800925926,3.0,3.7933564814814815,compliant,organizational unit 65454,544.2340818699594,1493.8923762933123,1,2.7449445487874953,2
travel permit 10148,31.729988425925924,short,0,10,0,0,4,0,Start trip,Payment Handled,1,1,0,2.642337962962963,0.0,0.0,5.830775462962963,type_a,organizational unit 65456,78.22195775947897,28.836246992799026,0,0.3686464493955297,8
travel permit 10159,156.9364236111111,long,1,8,0,2,3,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,3.1641898148148146,48.52168981481481,2.0,,compliant,organizational unit 65466,0.0,0.0,0,,10
travel permit 10165,39.7300462962963,short,0,15,2,0,6,0,Start trip,Payment Handled,1,1,0,2.9233680555555557,0.0,5.0,24.186168981481483,type_a,organizational unit 65459,331.19317728624674,662.808790361207,0,2.0012754966517576,67
travel permit 10181,63.19229166666667,medium,0,12,0,0,6,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,3.3922337962962965,16.069988425925924,7.0,17.135,compliant,organizational unit 65460,2793.1232198242815,451.96648914040907,0,0.16181401734537254,2
travel permit 1019,121.74266203703705,long,1,7,0,2,2,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,0.9296527777777778,16.562071759259258,4.0,,compliant,organizational unit 65454,1536.0572854554957,0.0,0,0.0,3
travel permit 10194,119.6071412037037,long,1,8,0,2,3,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,16.791238425925926,3.5653125,4.0,,compliant,organizational unit 65466,2589.834617480841,0.0,0,0.0,10
travel permit 10200,118.61861111111112,long,1,7,0,2,2,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,0.026782407407407408,10.341296296296296,2.0,,compliant,organizational unit 65454,0.0,0.0,0,,3
travel permit 10205,29.40851851851852,short,0,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.05071759259259259,1.6277546296296297,1.0,7.108263888888889,compliant,organizational unit 65454,104.16136302642441,104.14170988112654,0,0.9998113201985185,1
travel permit 10215,92.37083333333334,medium,0,12,0,0,6,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,1.2700810185185185,60.370497685185185,12.0,14.2584375,compliant,organizational unit 65454,1915.7604950703992,2801.6903766770747,1,1.4624429222161823,2
travel permit 10227,78.18940972222222,medium,0,33,2,0,12,1,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.8131018518518518,51.646064814814814,3.0,0.0,compliant,organizational unit 65460,1262.4426619067171,899.6005613537004,1,0.7125872631672618,1085
travel permit 1025,77.11194444444445,medium,0,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.820462962962963,39.56122685185185,2.0,23.152800925925927,compliant,organizational unit 65454,464.4944018304138,253.3214295091041,1,0.5453702531415898,1
travel permit 10263,43.15159722222222,short,0,13,2,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.8065277777777777,4.6150115740740745,4.0,30.13105324074074,compliant,organizational unit 65464,619.7969706085277,744.94279664288,1,1.2019142267047256,5
travel permit 10276,45.7300462962963,short,0,16,2,0,7,0,Start trip,Payment Handled,1,1,0,12.525023148148149,0.0,4.0,16.287199074074074,type_a,organizational unit 65458,1207.0137338507425,1570.0308744938854,1,1.30075642924543,1084
travel permit 10293,127.03479166666666,long,1,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.8656597222222222,87.43917824074074,3.0,17.19534722222222,compliant,organizational unit 65458,1384.079010745065,434.7015507259388,0,0.31407278583896314,1
travel permit 10303,184.30189814814813,long,1,13,0,0,7,1,Permit SUBMITTED by EMPLOYEE,End trip,0,0,0,7.607384259259259,169.69451388888888,7.0,,compliant,organizational unit 65458,1669.3861921611951,1138.521383053935,0,0.682,1083
travel permit 10316,84.31828703703704,medium,0,23,2,0,8,1,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,5.064085648148148,44.5241087962963,7.0,0.0,compliant,organizational unit 65456,2404.2806542125472,2284.8017230377654,1,0.950305746974488,1082
travel permit 10341,116.61502314814815,long,1,8,0,2,3,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,5.403958333333334,0.0,0.0,,type_b,organizational unit 65472,30.261867510037682,0.0,0,0.0,80
travel permit 10348,88.09438657407406,medium,0,12,0,0,6,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,5.404328703703704,24.959930555555555,2.0,14.229814814814814,compliant,organizational unit 65472,513.1755181675189,1163.2800346338752,1,2.2668268330254575,2
travel permit 10360,147.2499074074074,long,1,8,0,2,3,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,4.395474537037037,19.603935185185186,30.0,,compliant,organizational unit 65454,648.8945002656687,0.0,0,0.0,10
travel permit 10366,175.24844907407407,long,1,8,0,2,3,0,Permit SUBMITTED by EMPLOYEE,Send Reminder,0,0,1,4.393865740740741,50.603923611111114,29.0,,compliant,organizational unit 65454,2451.3792232258597,0.0,0,0.0,10
travel permit 1037,81.37645833333333,medium,0,3,0,0,0,0,Permit SAVED by EMPLOYEE,End trip,0,0,0,,,1.0,,type_a,organizational unit 65454,363.71846059105377,0.0,0,0.0,81
travel permit 10372,78.7850462962963,medium,0,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,1.7128587962962962,65.34207175925926,7.0,3.4363657407407406,compliant,organizational unit 65458,2392.759635799292,1110.2697077123794,0,0.46401221882092564,1
travel permit 10382,85.15450231481482,medium,0,36,0,0,18,1,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,7.991203703703704,46.43315972222222,5.0,0.0,compliant,organizational unit 65454,2063.262913781734,1796.3932339895778,1,0.8706564839557875,1081
travel permit 1039,118.4531712962963,long,1,11,0,0,5,0,Permit SUBMITTED by EMPLOYEE,End trip,0,0,0,0.07865740740740741,112.37451388888888,6.0,6.10875,compliant,organizational unit 65458,3320.6868526510398,394.01643794491076,0,0.11865510222090088,1080
travel permit 10420,12.435925925925927,short,0,5,0,0,2,0,Permit SUBMITTED by EMPLOYEE,End trip,0,0,0,0.9152777777777777,8.520648148148148,3.0,,compliant,organizational unit 65456,880.181785991606,0.0,0,0.0,11
travel permit 10425,38.14263888888889,short,0,10,0,0,4,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,0.048935185185185186,15.363113425925926,1.0,15.887939814814814,compliant,organizational unit 65458,274.7898403106115,717.7570675081978,0,2.612021851669893,1
travel permit 10436,189.13710648148148,long,1,17,0,0,8,1,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,2.915601851851852,163.49155092592594,2.0,0.0,compliant,organizational unit 65464,348.68363779310556,666.5106329577991,0,1.9115053323875177,245
travel permit 10453,40.13892361111111,short,0,17,2,0,8,0,Permit SUBMITTED by EMPLOYEE,Payment Handled,0,1,0,7.794872685185185,16.6140625,5.0,7.251782407407408,compliant,organizational unit 65466,1225.9350337462627,586.4356071538276,0,0.47835781751156387,168
