case:concept:name,concept:name,time:timestamp,case:OrganizationalEntity,case:TotalDeclared
travel permit 10060,Send Reminder,2018-11-01 06:00:45+00:00,organizational unit 65458,0.0
travel permit 10120,Send Reminder,2018-08-01 06:00:59+00:00,organizational unit 65458,0.0
travel permit 10159,Send Reminder,2018-08-01 06:00:47+00:00,organizational unit 65466,0.0
travel permit 1019,Send Reminder,2018-07-01 06:01:21+00:00,organizational unit 65454,0.0
travel permit 10194,Send Reminder,2019-01-01 06:00:51+00:00,organizational unit 65466,0.0
travel permit 10200,Send Reminder,2019-01-01 06:00:46+00:00,organizational unit 65454,0.0
travel permit 10341,Send Reminder,2019-01-01 06:00:39+00:00,organizational unit 65472,0.0
travel permit 10360,Send Reminder,2019-02-01 06:00:43+00:00,organizational unit 65454,0.0
travel permit 10366,Send Reminder,2019-03-01 06:00:57+00:00,organizational unit 65454,0.0
travel permit 10508,Send Reminder,2018-11-01 06:00:37+00:00,organizational unit 65458,0.0
travel permit 10514,Send Reminder,2018-11-01 06:00:33+00:00,organizational unit 65454,0.0
travel permit 10538,Send Reminder,2019-01-01 06:00:45+00:00,organizational unit 65457,1039.7955692181552
travel permit 10569,Send Reminder,2018-11-01 06:00:43+00:00,organizational unit 65459,0.0
travel permit 10751,Send Reminder,2019-03-01 06:00:59+00:00,organizational unit 65460,0.0
travel permit 10790,Send Reminder,2019-01-01 06:00:43+00:00,organizational unit 65457,0.0
travel permit 10830,Send Reminder,2019-02-01 06:00:51+00:00,organizational unit 65454,0.0
travel permit 10920,Send Reminder,2018-11-01 06:00:36+00:00,organizational unit 65456,0.0
travel permit 11140,Send Reminder,2018-11-01 06:00:31+00:00,organizational unit 65460,0.0
travel permit 11274,Send Reminder,2019-03-01 06:00:42+00:00,organizational unit 65457,0.0
travel permit 11318,Send Reminder,2019-01-01 06:00:13+00:00,organizational unit 65456,0.0
travel permit 11371,Send Reminder,2019-05-01 06:00:55+00:00,organizational unit 65458,2354.157015302422
travel permit 11407,Send Reminder,2019-04-01 06:00:55+00:00,organizational unit 65457,0.0
travel permit 11412,Send Reminder,2019-07-01 06:01:07+00:00,organizational unit 65458,0.0
travel permit 11517,Send Reminder,2018-12-01 06:00:52+00:00,organizational unit 65458,0.0
travel permit 11727,Send Reminder,2019-02-01 06:00:39+00:00,organizational unit 65464,0.0
travel permit 11733,Send Reminder,2019-01-01 06:00:19+00:00,organizational unit 65455,0.0
travel permit 11757,Send Reminder,2019-03-01 06:01:02+00:00,organizational unit 65472,0.0
travel permit 11906,Send Reminder,2019-07-01 06:00:59+00:00,organizational unit 65459,2602.983140227196
travel permit 11929,Send Reminder,2019-03-01 06:00:57+00:00,organizational unit 65458,0.0
travel permit 11972,Send Reminder,2019-02-01 06:00:59+00:00,organizational unit 65455,0.0
travel permit 12000,Send Reminder,2019-03-01 06:01:04+00:00,organizational unit 65456,0.0
