k,fold,n_train,n_test,test_auc
1,Q1 2018,1467,1596,0.5643897723105644
1,Q2 2018,3063,1713,0.6512487358747747
1,Q3 2018,4776,1227,0.6543241705487002
1,Q4 2018,6003,1062,0.6480085325716274
3,Q1 2018,1467,1596,0.6541912524585791
3,Q2 2018,3063,1713,0.6790265136525524
3,Q3 2018,4776,1227,0.6781568934248426
3,Q4 2018,6003,1062,0.6636088566628673
5,Q1 2018,1467,1596,0.7909782644931159
5,Q2 2018,3063,1713,0.8126456492107462
5,Q3 2018,4776,1227,0.773909178194232
5,Q4 2018,6003,1062,0.751420187954609
8,Q1 2018,1467,1596,0.9472072207220723
8,Q2 2018,3063,1713,0.9642695921089273
8,Q3 2018,4776,1227,0.9645976316631699
8,Q4 2018,6003,1062,0.9906160022338493
