case_id,n_rejections,has_violation,submit_to_trip_d,submit_to_adm_d,has_adm_approval
travel permit 10022,0,1,24.422604166666666,8.101851851851852e-05,1
travel permit 10040,2,1,58.421400462962964,3.472222222222222e-05,1
travel permit 10060,0,0,117.27141203703704,5.787037037037037e-05,1
travel permit 10066,0,0,0.3136921296296296,2.3148148148148147e-05,1
travel permit 10077,0,0,127.46251157407407,3.472222222222222e-05,1
travel permit 10087,2,0,61.58229166666667,0.0005092592592592592,1
travel permit 10100,0,1,100.33454861111112,2.3148148148148147e-05,1
travel permit 10120,0,0,46.302650462962966,2.3148148148148147e-05,1
travel permit 10125,0,0,18.050358796296297,4.6296296296296294e-05,1
travel permit 10136,0,0,108.04935185185185,5.787037037037037e-05,1
travel permit 10148,0,0,-4.988958333333334,2.3148148148148147e-05,1
travel permit 10159,0,0,51.68587962962963,5.787037037037037e-05,1
travel permit 10165,2,0,-8.4875,9.259259259259259e-05,1
travel permit 10181,0,0,19.462222222222223,2.3148148148148147e-05,1
travel permit 1019,0,0,17.491724537037037,3.472222222222222e-05,1
travel permit 10194,0,0,20.356550925925927,4.6296296296296294e-05,1
travel permit 10200,0,0,10.368078703703704,3.472222222222222e-05,1
travel permit 10205,0,0,1.6784722222222221,6.944444444444444e-05,1
travel permit 10215,0,0,61.6405787037037,0.000625,1
travel permit 10227,2,1,52.45916666666667,3.472222222222222e-05,1
travel permit 1025,0,0,40.38168981481481,6.944444444444444e-05,1
travel permit 10263,2,0,5.421539351851852,0.00011574074074074075,1
travel permit 10276,2,1,-16.693877314814817,0.0002314814814814815,1
travel permit 10293,0,0,88.30483796296296,2.3148148148148147e-05,1
travel permit 10303,0,1,177.30189814814815,3.472222222222222e-05,1
travel permit 10316,2,1,49.58819444444445,0.00010416666666666667,1
travel permit 10341,0,0,5.36457175925926,4.6296296296296294e-05,1
travel permit 10348,0,0,30.36425925925926,8.101851851851852e-05,1
travel permit 10360,0,0,23.99940972222222,2.3148148148148147e-05,1
travel permit 10366,0,0,54.99778935185185,2.3148148148148147e-05,1
travel permit 1037,0,1,,,0
travel permit 10372,0,0,67.05493055555556,0.0008333333333333334,1
travel permit 10382,0,1,54.424363425925925,2.3148148148148147e-05,1
travel permit 1039,0,0,112.45317129629629,3.472222222222222e-05,1
travel permit 10420,0,0,9.435925925925925,5.787037037037037e-05,1
travel permit 10425,0,0,15.41204861111111,0.0008449074074074074,1
travel permit 10436,0,1,166.40715277777778,0.9955324074074074,1
travel permit 10453,2,1,24.408935185185186,3.472222222222222e-05,1
travel permit 10470,0,0,3.6742013888888887,2.3148148148148147e-05,1
travel permit 10482,0,0,11.556875,0.00016203703703703703,1
travel permit 10493,2,0,69.55467592592592,4.6296296296296294e-05,1
travel permit 1050,4,1,112.36881944444444,0.00011574074074074075,1
travel permit 10508,0,0,24.53269675925926,4.6296296296296294e-05,1
travel permit 10514,0,0,17.360069444444445,2.3148148148148147e-05,1
travel permit 10520,4,0,12.358784722222222,2.3148148148148147e-05,1
travel permit 10538,0,1,80.15851851851852,0.0001273148148148148,1
travel permit 10549,4,1,23.0665625,5.787037037037037e-05,1
travel permit 10569,0,0,22.066168981481482,3.472222222222222e-05,1
travel permit 10575,0,0,-4.468900462962963,2.3148148148148147e-05,1
travel permit 10587,0,0,20.43025462962963,3.472222222222222e-05,1
travel permit 10601,2,0,71.47653935185186,0.00011574074074074075,1
travel permit 10615,0,0,3.243564814814815,3.472222222222222e-05,1
travel permit 10626,0,0,68.20893518518518,0.00028935185185185184,1
travel permit 10636,0,0,-7.41912037037037,5.787037037037037e-05,1
travel permit 10648,0,0,118.5758912037037,0.00015046296296296297,1
travel permit 10660,0,0,11.57462962962963,4.6296296296296294e-05,1
travel permit 10672,0,0,61.16902777777778,3.472222222222222e-05,1
travel permit 10682,0,0,5.583414351851852,9.259259259259259e-05,1
travel permit 10692,0,0,13.507789351851851,6.944444444444444e-05,1
travel permit 10704,0,0,15.506956018518519,1.1574074074074073e-05,1
travel permit 10716,6,1,14.400416666666667,3.472222222222222e-05,1
travel permit 10741,0,0,1.6318518518518519,2.3148148148148147e-05,1
travel permit 10751,0,0,73.62635416666667,0.0003125,1
travel permit 10756,0,0,40.57711805555556,2.3148148148148147e-05,1
travel permit 1076,0,1,4.228043981481481,4.6296296296296294e-05,1
travel permit 10766,0,0,6.575983796296296,3.472222222222222e-05,1
travel permit 10778,0,0,49.53753472222222,9.013854166666667,1
travel permit 10790,0,0,-6.6344212962962965,2.3148148148148147e-05,1
travel permit 10795,6,0,3.325335648148148,3.472222222222222e-05,1
travel permit 10814,2,0,1.5754976851851852,9.259259259259259e-05,1
travel permit 10830,0,0,38.37482638888889,0.00015046296296296297,1
travel permit 10835,0,0,2.186585648148148,6.944444444444444e-05,1
travel permit 10845,0,1,64.32362268518519,3.472222222222222e-05,1
travel permit 10860,0,0,0.3169212962962963,2.3148148148148147e-05,1
travel permit 10872,0,0,69.31559027777777,5.787037037037037e-05,1
travel permit 10884,2,0,20.299560185185186,4.6296296296296294e-05,1
travel permit 10898,0,0,10.475636574074073,5.787037037037037e-05,1
travel permit 10909,0,0,1.3598611111111112,0.00016203703703703703,1
travel permit 10920,0,0,23.652824074074076,9.259259259259259e-05,1
travel permit 10927,0,0,72.04497685185186,32.490775462962965,1
travel permit 10937,2,1,33.62721064814815,5.787037037037037e-05,1
travel permit 1095,0,1,75.40185185185184,0.9676157407407407,1
travel permit 10951,0,0,25.50576388888889,4.525972222222222,1
travel permit 10958,8,1,16.597881944444445,0.00010416666666666667,1
travel permit 10984,2,1,-5.4395138888888885,4.037060185185185,1
travel permit 10998,0,0,16.46128472222222,2.3148148148148147e-05,1
travel permit 11008,0,1,63.05148148148148,0.00010416666666666667,1
travel permit 11023,4,0,-0.5695370370370371,1.1574074074074073e-05,1
travel permit 11041,0,1,40.24832175925926,3.472222222222222e-05,1
travel permit 11056,0,1,132.06141203703703,2.3148148148148147e-05,1
travel permit 11076,0,1,76.50908564814814,0.0052430555555555555,1
travel permit 11094,2,1,102.50508101851852,0.000925925925925926,1
travel permit 11112,4,0,75.50135416666667,0.0002314814814814815,1
travel permit 1112,0,0,-231.79858796296296,0.1504398148148148,1
travel permit 11130,2,1,82.47369212962963,0.00016203703703703703,1
travel permit 11136,2,1,-16.335277777777776,,0
travel permit 11140,0,0,11.537685185185186,0.00015046296296296297,1
travel permit 11147,4,1,-11.631666666666666,0.7980208333333333,1
travel permit 11165,0,0,12.066180555555556,1.1574074074074073e-05,1
travel permit 11175,0,0,-23.410127314814815,5.787037037037037e-05,1
travel permit 11187,0,0,57.51804398148148,6.944444444444444e-05,1
travel permit 11200,2,1,71.42150462962962,5.787037037037037e-05,1
travel permit 11220,0,0,5.413530092592593,8.101851851851852e-05,1
travel permit 11231,2,1,-8.574664351851851,4.6296296296296294e-05,1
travel permit 11237,0,0,-10.633159722222222,5.787037037037037e-05,1
travel permit 1124,0,0,18.00642361111111,8.101851851851852e-05,1
travel permit 11247,0,0,50.51005787037037,4.6296296296296294e-05,1
travel permit 11260,0,0,20.47357638888889,3.472222222222222e-05,1
travel permit 11274,0,0,12.562974537037038,1.1574074074074073e-05,1
travel permit 11279,0,0,11.333738425925926,5.787037037037037e-05,1
travel permit 11290,0,0,4.320219907407408,8.101851851851852e-05,1
travel permit 11303,2,1,25.50443287037037,,0
travel permit 11307,0,0,21.569756944444446,2.3148148148148147e-05,1
travel permit 11318,0,0,8.517997685185184,2.3148148148148147e-05,1
travel permit 11323,0,0,10.392418981481482,0.002199074074074074,1
travel permit 11333,2,0,7.392118055555556,3.472222222222222e-05,1
travel permit 1134,4,1,45.57408564814815,4.6296296296296294e-05,1
travel permit 11346,2,0,6.389583333333333,3.472222222222222e-05,1
travel permit 11361,0,0,7.385752314814815,2.3148148148148147e-05,1
travel permit 11371,0,1,35.509351851851854,1.1574074074074073e-05,1
travel permit 11383,0,0,4.357789351851852,4.6296296296296294e-05,1
travel permit 11389,0,0,82.43936342592593,0.011180555555555555,1
travel permit 11395,0,0,57.26665509259259,1.1574074074074073e-05,1
travel permit 11401,0,0,43.26555555555556,1.1574074074074073e-05,1
travel permit 11407,0,0,-6.351921296296296,0.0037962962962962963,1
travel permit 11412,0,0,74.51109953703704,1.1574074074074073e-05,1
travel permit 11417,2,1,-28.643761574074073,,0
travel permit 11421,2,0,16.515196759259258,0.0001273148148148148,1
travel permit 11434,2,1,6.105891203703703,1.1574074074074073e-05,1
travel permit 11451,0,0,53.401435185185186,0.00011574074074074075,1
travel permit 11461,0,0,50.5175,0.0004861111111111111,1
travel permit 11474,0,0,1.317824074074074,2.3148148148148147e-05,1
