case:concept:name,case:OrganizationalEntity,type_a,type_b,compliant
travel permit 10066,organizational unit 65460,False,True,False
travel permit 10341,organizational unit 65472,False,True,False
travel permit 10470,organizational unit 65458,False,True,False
travel permit 10549,organizational unit 65458,False,True,False
travel permit 10741,organizational unit 65456,False,True,False
travel permit 1076,organizational unit 65456,False,True,False
travel permit 10814,organizational unit 65464,False,True,False
travel permit 10860,organizational unit 65454,False,True,False
travel permit 11130,organizational unit 65464,False,True,False
travel permit 11290,organizational unit 65456,False,True,False
travel permit 11303,organizational unit 65454,False,True,False
travel permit 11383,organizational unit 65459,False,True,False
travel permit 11434,organizational unit 65459,False,True,False
travel permit 11485,organizational unit 65456,False,True,False
travel permit 11517,organizational unit 65458,False,True,False
travel permit 11692,organizational unit 65458,False,True,False
travel permit 11704,organizational unit 65457,False,True,False
travel permit 11715,organizational unit 65461,False,True,False
travel permit 11733,organizational unit 65455,False,True,False
travel permit 11757,organizational unit 65472,False,True,False
travel permit 11796,organizational unit 65464,False,True,False
travel permit 1182,organizational unit 65456,False,True,False
travel permit 11890,organizational unit 65459,False,True,False
travel permit 11929,organizational unit 65458,False,True,False
travel permit 1194,organizational unit 65458,False,True,False
travel permit 11946,organizational unit 65457,False,True,False
travel permit 11977,organizational unit 65459,False,True,False
travel permit 12005,organizational unit 65466,False,True,False
travel permit 12372,organizational unit 65459,False,True,False
travel permit 12548,organizational unit 65459,False,True,False
travel permit 12671,organizational unit 65457,False,True,False
travel permit 12900,organizational unit 65460,False,True,False
travel permit 13034,organizational unit 65456,False,True,False
travel permit 13108,organizational unit 65464,False,True,False
travel permit 1311,organizational unit 65456,False,True,False
travel permit 13177,organizational unit 65457,False,True,False
travel permit 13644,organizational unit 65454,False,True,False
travel permit 13759,organizational unit 65456,False,True,False
travel permit 1380,organizational unit 65456,False,True,False
travel permit 13975,organizational unit 65456,False,True,False
travel permit 14513,organizational unit 65459,False,True,False
travel permit 15066,organizational unit 65457,False,True,False
travel permit 15230,organizational unit 65456,False,True,False
travel permit 15429,organizational unit 65457,False,True,False
travel permit 15784,organizational unit 65456,False,True,False
travel permit 15878,organizational unit 65464,False,True,False
travel permit 15971,organizational unit 65454,False,True,False
travel permit 16017,organizational unit 65457,False,True,False
travel permit 16112,organizational unit 65456,False,True,False
travel permit 16144,organizational unit 65454,False,True,False
travel permit 1620,organizational unit 65457,False,True,False
travel permit 16227,organizational unit 65458,False,True,False
travel permit 16275,organizational unit 65466,False,True,False
travel permit 16451,organizational unit 65475,False,True,False
travel permit 16675,organizational unit 65458,False,True,False
travel permit 1669,organizational unit 65457,False,True,False
travel permit 16693,organizational unit 65456,False,True,False
travel permit 16983,organizational unit 65464,False,True,False
travel permit 17033,organizational unit 65459,False,True,False
travel permit 17050,organizational unit 65464,False,True,False
travel permit 17062,organizational unit 65459,False,True,False
travel permit 17140,organizational unit 65456,False,True,False
travel permit 17197,organizational unit 65455,False,True,False
travel permit 17297,organizational unit 65456,False,True,False
travel permit 17400,organizational unit 65458,False,True,False
travel permit 17437,organizational unit 65454,False,True,False
travel permit 17734,organizational unit 65461,False,True,False
travel permit 17979,organizational unit 65456,False,True,False
travel permit 18075,organizational unit 65459,False,True,False
travel permit 18094,organizational unit 65459,False,True,False
travel permit 18216,organizational unit 65458,False,True,False
travel permit 1849,organizational unit 65454,False,True,False
travel permit 18737,organizational unit 65458,False,True,False
travel permit 18766,organizational unit 65456,False,True,False
travel permit 18811,organizational unit 65454,False,True,False
travel permit 18817,organizational unit 65454,False,True,False
travel permit 18920,organizational unit 65461,False,True,False
travel permit 18948,organizational unit 65456,False,True,False
travel permit 18989,organizational unit 65458,False,True,False
travel permit 19106,organizational unit 65480,False,True,False
travel permit 19139,organizational unit 65458,False,True,False
travel permit 1937,organizational unit 65459,False,True,False
travel permit 19490,organizational unit 65455,False,True,False
travel permit 19516,organizational unit 65454,False,True,False
travel permit 19544,organizational unit 65459,False,True,False
travel permit 1967,organizational unit 65456,False,True,False
travel permit 19674,organizational unit 65459,False,True,False
travel permit 19698,organizational unit 65464,False,True,False
travel permit 19743,organizational unit 65456,False,True,False
travel permit 19845,organizational unit 65460,False,True,False
travel permit 19938,organizational unit 65456,False,True,False
travel permit 19950,organizational unit 65457,False,True,False
travel permit 2005,organizational unit 65457,False,True,False
travel permit 20080,organizational unit 65460,False,True,False
travel permit 20091,organizational unit 65456,False,True,False
travel permit 2033,organizational unit 65459,False,True,False
travel permit 20676,organizational unit 65457,False,True,False
travel permit 20745,organizational unit 65459,False,True,False
travel permit 20976,organizational unit 65454,False,True,False
